AnonymousExpertID	Species	Gene	StudyStatus	Gemini	Grok	OpenAI	Phytomni	Claude
E001	Soybean	GLYMA_04G211100	uncharacterized	R2	R3	R1	R5	R4
E001	Soybean	GLYMA_05G176200	uncharacterized	R3	R5	R2	R1	R4
E001	Soybean	GLYMA_13G276700	well_studied	R5	R3	R1	R2	R4
E001	Soybean	GLYMA_18G224500	well_studied	R4	R3	R1	R5	R2
E001	Soybean	GLYMA_19G164600	well_studied	R1	R5	R2	R4	R3
E002	Rice	Os01g0107900	uncharacterized	R5	R4	R2	R1	R3
E002	Rice	Os02g0821600	uncharacterized	R1	R3	R4	R5	R2
E002	Rice	Os03g0160600	uncharacterized	R1	R4	R2	R5	R3
E002	Rice	Os04g0463500	well_studied	R4	R5	R1	R3	R2
E002	Rice	Os04g0469800	well_studied	R1	R3	R4	R2	R5
E003	Wheat	TraesCS2A02G425400	uncharacterized	R2	R3	R5	R4	R1
E003	Wheat	TraesCS2B02G004500	uncharacterized	R1	R5	R3	R4	R2
E003	Wheat	TraesCS3A02G122600	well_studied	R4	R5	R1	R2	R3
E003	Wheat	TraesCS6A02G263000	uncharacterized	R4	R5	R2	R3	R1
E003	Wheat	TraesCS6D02G243500	uncharacterized	R3	R4	R1	R5	R2
E004	Rice	Os01g0134700	uncharacterized	R5	R3	R4	R2	R1
E004	Rice	Os03g0221500	uncharacterized	R4	R2	R5	R3	R1
E004	Rice	Os03g0436300	uncharacterized	R4	R3	R5	R2	R1
E004	Rice	Os03g0783000	uncharacterized	R4	R5	R3	R2	R1
E004	Rice	Os03g0811700	uncharacterized	R3	R2	R5	R4	R1
E005	Arabidopsis	AT1G07140	uncharacterized	R3	R5	R4	R1	R2
E005	Arabidopsis	AT1G44130	uncharacterized	R2	R5	R4	R1	R3
E005	Arabidopsis	AT1G66350	well_studied	R2	R5	R4	R1	R3
E005	Arabidopsis	AT4G21690	well_studied	R2	R4	R5	R1	R3
E005	Arabidopsis	AT5G62000	well_studied	R2	R5	R4	R1	R3
E006	Maize	Zm00001eb049320	uncharacterized	R3	R5	R2	R1	R4
E006	Maize	Zm00001eb212190	uncharacterized	R2	R5	R1	R3	R4
E006	Maize	Zm00001eb252940	uncharacterized	R1	R5	R4	R3	R2
E006	Maize	Zm00001eb316260	well_studied	R2	R5	R4	R1	R3
E006	Maize	Zm00001eb362410	uncharacterized	R1	R5	R4	R2	R3
E007	Soybean	GLYMA_03G239400	uncharacterized	R5	R4	R3	R1	R2
E007	Soybean	GLYMA_08G302500	well_studied	R5	R4	R3	R2	R1
