PY,count
1900,12
1901,7
1902,14
1903,8
1904,13
1905,14
1906,11
1907,15
1908,21
1909,24
1910,13
1911,12
1912,22
1913,29
1914,33
1915,36
1916,39
1917,39
1918,38
1919,38
1920,42
1921,56
1922,67
1923,55
1924,69
1925,48
1926,197
1927,198
1928,196
1929,218
1930,243
1931,270
1932,263
1933,247
1934,222
1935,293
1936,283
1937,279
1938,314
1939,343
1940,362
1941,359
1942,363
1943,291
1944,310
1945,443
1946,445
1947,490
1948,597
1949,661
1950,804
1951,788
1952,883
1953,1051
1954,1086
1955,977
1956,993
1957,1083
1958,1109
1959,1306
1960,1468
1961,1987
1962,2185
1963,2186
1964,2753
1965,3284
1966,4156
1967,4772
1968,3647
1969,2539
1970,2589
1971,3061
1972,3572
1973,3744
1974,4209
1975,4787
1976,9844
1977,11639
1978,12330
1979,12827
1980,13771
1981,14657
1982,15863
1983,16264
1984,17505
1985,18214
1986,19443
1987,20536
1988,21438
1989,23069
1990,23365
1991,29985
1992,31685
1993,33624
1994,38765
1995,41747
1996,43922
1997,43461
1998,47654
1999,49007
2000,52810
2001,57448
2002,62658
2003,66766
2004,78352
2005,86115
2006,96573
2007,103007
2008,106954
2009,115467
2010,123841
2011,124254
2012,132149
2013,151740
2014,163959
2015,173935
2016,186757
2017,192599
2018,203558
2019,233743
2020,259158
2021,242575
2022,136761
2023,99755
2024,26421
2025,7147
