Task	Species	Rep	ObservationID	Model	DisplayLabel	PlanScore	ToolScore	ParameterScore	RateScore	TotalScore
Transcriptomics	Oryza_sativa	rep1	Transcriptomics|Oryza_sativa|rep1	Phyto-Reasoner	Phyto-Reasoner	17	18	24	12.5	71.5
Transcriptomics	Oryza_sativa	rep2	Transcriptomics|Oryza_sativa|rep2	Phyto-Reasoner	Phyto-Reasoner	18	16	23	6.25	63.25
Transcriptomics	Oryza_sativa	rep3	Transcriptomics|Oryza_sativa|rep3	Phyto-Reasoner	Phyto-Reasoner	16	15	24	12.5	67.5
Transcriptomics	Oryza_sativa	rep4	Transcriptomics|Oryza_sativa|rep4	Phyto-Reasoner	Phyto-Reasoner	17	18	24	6.25	65.25
Transcriptomics	Oryza_sativa	rep5	Transcriptomics|Oryza_sativa|rep5	Phyto-Reasoner	Phyto-Reasoner	17	18	22	12.5	69.5
Proteomics	Oryza_sativa	rep1	Proteomics|Oryza_sativa|rep1	Phyto-Reasoner	Phyto-Reasoner	20	20	23	6.25	69.25
Proteomics	Oryza_sativa	rep2	Proteomics|Oryza_sativa|rep2	Phyto-Reasoner	Phyto-Reasoner	20	20	22	12.5	74.5
Proteomics	Oryza_sativa	rep3	Proteomics|Oryza_sativa|rep3	Phyto-Reasoner	Phyto-Reasoner	20	20	22	12.5	74.5
Proteomics	Oryza_sativa	rep4	Proteomics|Oryza_sativa|rep4	Phyto-Reasoner	Phyto-Reasoner	18	19	23	12.5	72.5
Proteomics	Oryza_sativa	rep5	Proteomics|Oryza_sativa|rep5	Phyto-Reasoner	Phyto-Reasoner	20	20	20	6.25	66.25
Metabolomics	Oryza_sativa	rep1	Metabolomics|Oryza_sativa|rep1	Phyto-Reasoner	Phyto-Reasoner	19	18	22	6.25	65.25
Metabolomics	Oryza_sativa	rep2	Metabolomics|Oryza_sativa|rep2	Phyto-Reasoner	Phyto-Reasoner	17	19	23	25	84
Metabolomics	Oryza_sativa	rep3	Metabolomics|Oryza_sativa|rep3	Phyto-Reasoner	Phyto-Reasoner	18	17	20	18.75	73.75
Metabolomics	Oryza_sativa	rep4	Metabolomics|Oryza_sativa|rep4	Phyto-Reasoner	Phyto-Reasoner	19	18	21	25	83
Metabolomics	Oryza_sativa	rep5	Metabolomics|Oryza_sativa|rep5	Phyto-Reasoner	Phyto-Reasoner	19	18	22	6.25	65.25
Evolutionary analysis	Oryza_sativa	rep1	Evolutionary analysis|Oryza_sativa|rep1	Phyto-Reasoner	Phyto-Reasoner	18	19	22	12.5	71.5
Evolutionary analysis	Oryza_sativa	rep2	Evolutionary analysis|Oryza_sativa|rep2	Phyto-Reasoner	Phyto-Reasoner	18	18	20	10	66
Evolutionary analysis	Oryza_sativa	rep3	Evolutionary analysis|Oryza_sativa|rep3	Phyto-Reasoner	Phyto-Reasoner	18	19	21	12.5	70.5
Evolutionary analysis	Oryza_sativa	rep4	Evolutionary analysis|Oryza_sativa|rep4	Phyto-Reasoner	Phyto-Reasoner	18	18	23	12.5	71.5
Evolutionary analysis	Oryza_sativa	rep5	Evolutionary analysis|Oryza_sativa|rep5	Phyto-Reasoner	Phyto-Reasoner	18	18	22	6.25	64.25
Epigenomics	Oryza_sativa	rep1	Epigenomics|Oryza_sativa|rep1	Phyto-Reasoner	Phyto-Reasoner	21	22	22	25	90
Epigenomics	Oryza_sativa	rep2	Epigenomics|Oryza_sativa|rep2	Phyto-Reasoner	Phyto-Reasoner	20	20	20	12.5	72.5
Epigenomics	Oryza_sativa	rep3	Epigenomics|Oryza_sativa|rep3	Phyto-Reasoner	Phyto-Reasoner	22	21	21	25	89
Epigenomics	Oryza_sativa	rep4	Epigenomics|Oryza_sativa|rep4	Phyto-Reasoner	Phyto-Reasoner	20	20	20	25	85
Epigenomics	Oryza_sativa	rep5	Epigenomics|Oryza_sativa|rep5	Phyto-Reasoner	Phyto-Reasoner	20	22	22	18.75	82.75
Variant calling	Oryza_sativa	rep1	Variant calling|Oryza_sativa|rep1	Phyto-Reasoner	Phyto-Reasoner	18	18	15	10	61
Variant calling	Oryza_sativa	rep2	Variant calling|Oryza_sativa|rep2	Phyto-Reasoner	Phyto-Reasoner	18	18	18	12.5	66.5
Variant calling	Oryza_sativa	rep3	Variant calling|Oryza_sativa|rep3	Phyto-Reasoner	Phyto-Reasoner	20	20	20	12.5	72.5
Variant calling	Oryza_sativa	rep4	Variant calling|Oryza_sativa|rep4	Phyto-Reasoner	Phyto-Reasoner	18	18	19	12.5	67.5
Variant calling	Oryza_sativa	rep5	Variant calling|Oryza_sativa|rep5	Phyto-Reasoner	Phyto-Reasoner	17	17	19	10	63
GWAS	Oryza_sativa	rep1	GWAS|Oryza_sativa|rep1	Phyto-Reasoner	Phyto-Reasoner	19	19	22	12.5	72.5
GWAS	Oryza_sativa	rep2	GWAS|Oryza_sativa|rep2	Phyto-Reasoner	Phyto-Reasoner	19	19	23	12.5	73.5
