Scope	StudyStatus	Species	NExperts	NGenes	NJudgments	MinGenesPerExpert	MaxGenesPerExpert	MinExpertsPerGene	MaxExpertsPerGene
overall	all	all	120	200	600	5	5	3	3
well_studied	well_studied	all	118	100	300	1	5	3	3
well_studied.rice	well_studied	Rice	23	20	60	1	5	3	3
well_studied.maize	well_studied	Maize	23	20	60	1	4	3	3
well_studied.wheat	well_studied	Wheat	24	20	60	1	5	3	3
well_studied.soybean	well_studied	Soybean	24	20	60	1	4	3	3
well_studied.arabidopsis	well_studied	Arabidopsis	24	20	60	1	5	3	3
uncharacterized	uncharacterized	all	115	100	300	1	5	3	3
uncharacterized.rice	uncharacterized	Rice	23	20	60	1	5	3	3
uncharacterized.maize	uncharacterized	Maize	24	20	60	1	5	3	3
uncharacterized.wheat	uncharacterized	Wheat	22	20	60	1	4	3	3
uncharacterized.soybean	uncharacterized	Soybean	24	20	60	1	4	3	3
uncharacterized.arabidopsis	uncharacterized	Arabidopsis	22	20	60	1	4	3	3
rice	all	Rice	24	40	120	5	5	3	3
maize	all	Maize	24	40	120	5	5	3	3
wheat	all	Wheat	24	40	120	5	5	3	3
soybean	all	Soybean	24	40	120	5	5	3	3
arabidopsis	all	Arabidopsis	24	40	120	5	5	3	3
