ScopeID	AnalysisTier	ScopeFamily	Species	StudyStatus	Model	NGenes	NItems	RatingsPerItem	NRatings	NContributingExperts	ObservedAgreement	ExpectedAgreement	FleissKappa	RankR1Share	RankR2Share	RankR3Share	RankR4Share	RankR5Share	CILower	CIUpper	BootstrapAttempted	BootstrapReplicates	BootstrapInvalid	BootstrapUnit	BootstrapStrata	SeedStream
overall	primary	overall	all	all	all	200	1000	3	3000	120	0.271666666666667	0.2	0.0895833333333332	0.2	0.2	0.2	0.2	0.2	0.0633333333333333	0.116666666666667	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.rice	locked_secondary	species	Rice	all	all	40	200	3	600	24	0.316666666666667	0.2	0.145833333333333	0.2	0.2	0.2	0.2	0.2	0.0874999999999999	0.208333333333333	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.maize	locked_secondary	species	Maize	all	all	40	200	3	600	24	0.196666666666667	0.2	-0.00416666666666673	0.2	0.2	0.2	0.2	0.2	-0.0541666666666667	0.0520833333333333	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.wheat	locked_secondary	species	Wheat	all	all	40	200	3	600	24	0.238333333333333	0.2	0.0479166666666666	0.2	0.2	0.2	0.2	0.2	-0.00208333333333338	0.102083333333333	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.soybean	locked_secondary	species	Soybean	all	all	40	200	3	600	24	0.291666666666667	0.2	0.114583333333333	0.2	0.2	0.2	0.2	0.2	0.0583333333333333	0.175	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.arabidopsis	locked_secondary	species	Arabidopsis	all	all	40	200	3	600	24	0.315	0.2	0.14375	0.2	0.2	0.2	0.2	0.2	0.075	0.21875	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
study_status.well_studied	locked_secondary	study_status	all	well_studied	all	100	500	3	1500	118	0.260666666666667	0.2	0.0758333333333332	0.2	0.2	0.2	0.2	0.2	0.0375	0.115833333333333	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
study_status.uncharacterized	locked_secondary	study_status	all	uncharacterized	all	100	500	3	1500	115	0.282666666666667	0.2	0.103333333333333	0.2	0.2	0.2	0.2	0.2	0.0691666666666666	0.14	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
model.gemini	locked_secondary	model	all	all	Gemini	200	200	3	600	120	0.221666666666667	0.225927777777778	-0.00550479785836815	0.168333333333333	0.308333333333333	0.256666666666667	0.156666666666667	0.11	-0.0443426639593831	0.0320459305150402	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
model.grok	locked_secondary	model	all	all	Grok	200	200	3	600	120	0.371666666666667	0.38215	-0.0169674408567343	0.0466666666666667	0.1	0.121666666666667	0.156666666666667	0.575	-0.0608110607402148	0.0261481239456798	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
model.openai	locked_secondary	model	all	all	OpenAI	200	200	3	600	120	0.266666666666667	0.226227777777778	0.0522620064762096	0.161666666666667	0.173333333333333	0.196666666666667	0.338333333333333	0.13	0.00335806631512195	0.100287768844967	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
model.phytomni	locked_secondary	model	all	all	Phytomni	200	200	3	600	120	0.271666666666667	0.275438888888889	-0.00520621679024085	0.433333333333333	0.195	0.15	0.146666666666667	0.075	-0.047730119121443	0.0358628922058983	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
model.claude	locked_secondary	model	all	all	Claude	200	200	3	600	120	0.226666666666667	0.214372222222222	0.0156491977399531	0.19	0.223333333333333	0.275	0.201666666666667	0.11	-0.025674164229352	0.0557338817213508	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.rice.well_studied	locked_exploratory	species_study_status	Rice	well_studied	all	20	100	3	300	23	0.32	0.2	0.15	0.2	0.2	0.2	0.2	0.2	0.0791666666666666	0.220833333333333	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.rice.uncharacterized	locked_exploratory	species_study_status	Rice	uncharacterized	all	20	100	3	300	23	0.313333333333333	0.2	0.141666666666667	0.2	0.2	0.2	0.2	0.2	0.0499999999999999	0.245833333333333	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.maize.well_studied	locked_exploratory	species_study_status	Maize	well_studied	all	20	100	3	300	23	0.196666666666667	0.2	-0.00416666666666673	0.2	0.2	0.2	0.2	0.2	-0.0833333333333334	0.0916666666666665	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
