ScopeID	AnalysisTier	ScopeFamily	Species	StudyStatus	NGenes	NContributingExperts	KendallWMean	KendallWMedian	KendallWQ1	KendallWQ3	KendallWMeanCILower	KendallWMeanCIUpper	KendallWMedianCILower	KendallWMedianCIUpper	MeanPairwiseKendallTauMean	MeanPairwiseKendallTauMedian	MeanPairwiseKendallTauQ1	MeanPairwiseKendallTauQ3	MeanPairwiseKendallTauMeanCILower	MeanPairwiseKendallTauMeanCIUpper	MeanPairwiseKendallTauMedianCILower	MeanPairwiseKendallTauMedianCIUpper	BootstrapAttempted	BootstrapReplicates	BootstrapInvalid	BootstrapUnit	BootstrapStrata	SeedStream
overall	primary	overall	all	all	200	120	0.477666666666667	0.5	0.288888888888889	0.622222222222222	0.446888888888889	0.508777777777778	0.433333333333333	0.533333333333333	0.182	0.2	-0.0666666666666667	0.333333333333333	0.142666666666667	0.221333333333333	0.2	0.2	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.rice	locked_secondary	species	Rice	all	40	24	0.52	0.555555555555556	0.377777777777778	0.644444444444444	0.455555555555556	0.585555555555556	0.466666666666667	0.6	0.24	0.2	0.0666666666666667	0.333333333333333	0.153333333333333	0.326666666666667	0.2	0.333333333333333	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.maize	locked_secondary	species	Maize	all	40	24	0.393888888888889	0.377777777777778	0.222222222222222	0.561111111111111	0.325555555555556	0.462777777777778	0.266666666666667	0.5	0.0833333333333333	0.0666666666666667	-0.2	0.333333333333333	-0.00333333333333334	0.17	-0.0666666666666667	0.2	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.wheat	locked_secondary	species	Wheat	all	40	24	0.400555555555556	0.377777777777778	0.222222222222222	0.55	0.336111111111111	0.466111111111111	0.288888888888889	0.488888888888889	0.08	0.0666666666666667	-0.0666666666666667	0.233333333333333	0.00333333333333333	0.156666666666667	-0.0666666666666667	0.2	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.soybean	locked_secondary	species	Soybean	all	40	24	0.498888888888889	0.522222222222222	0.333333333333333	0.65	0.427222222222222	0.567777777777778	0.433333333333333	0.6	0.2	0.2	-0.0666666666666667	0.366666666666667	0.11	0.286666666666667	0.0666666666666667	0.333333333333333	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.arabidopsis	locked_secondary	species	Arabidopsis	all	40	24	0.575	0.577777777777778	0.405555555555556	0.805555555555556	0.500555555555556	0.650555555555555	0.5	0.7	0.306666666666667	0.333333333333333	0.0666666666666667	0.6	0.21	0.406666666666667	0.2	0.466666666666667	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
study_status.well_studied	locked_secondary	study_status	all	well_studied	100	118	0.464444444444444	0.5	0.244444444444444	0.622222222222222	0.420222222222222	0.508444444444444	0.411111111111111	0.533333333333333	0.165333333333333	0.2	-0.0666666666666667	0.333333333333333	0.109333333333333	0.221333333333333	0.0666666666666667	0.2	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
study_status.uncharacterized	locked_secondary	study_status	all	uncharacterized	100	115	0.490888888888889	0.5	0.35	0.644444444444444	0.448444444444444	0.534444444444444	0.411111111111111	0.555555555555556	0.198666666666667	0.2	0.0666666666666667	0.333333333333333	0.145333333333333	0.253333333333333	0.133333333333333	0.2	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.rice.well_studied	locked_exploratory	species_study_status	Rice	well_studied	20	23	0.558888888888889	0.588888888888889	0.511111111111111	0.644444444444444	0.476666666666667	0.632222222222222	0.511111111111111	0.633333333333333	0.286666666666667	0.333333333333333	0.2	0.333333333333333	0.186666666666667	0.38	0.2	0.333333333333333	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.rice.uncharacterized	locked_exploratory	species_study_status	Rice	uncharacterized	20	23	0.481111111111111	0.455555555555556	0.366666666666667	0.627777777777778	0.381111111111111	0.587777777777778	0.377777777777778	0.588888888888889	0.193333333333333	0.2	0.0333333333333333	0.333333333333333	0.0533333333333333	0.34	0.0666666666666667	0.333333333333333	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
