Scope	StudyStatus	Species	RowModel	ColumnModel	Probability	N
overall	all	all	Gemini	Gemini		600
overall	all	all	Gemini	Grok	0.78747570468521	600
overall	all	all	Gemini	OpenAI	0.585548014368565	600
overall	all	all	Gemini	Phytomni	0.408041375781492	600
overall	all	all	Gemini	Claude	0.521787996859812	600
overall	all	all	Grok	Gemini	0.21252429531479	600
overall	all	all	Grok	Grok		600
overall	all	all	Grok	OpenAI	0.276041040693841	600
overall	all	all	Grok	Phytomni	0.156851398759161	600
overall	all	all	Grok	Claude	0.227484671607301	600
overall	all	all	OpenAI	Gemini	0.414451985631435	600
overall	all	all	OpenAI	Grok	0.723958959306159	600
overall	all	all	OpenAI	OpenAI		600
overall	all	all	OpenAI	Phytomni	0.327908647897889	600
overall	all	all	OpenAI	Claude	0.435761037376201	600
overall	all	all	Phytomni	Gemini	0.591958624218508	600
overall	all	all	Phytomni	Grok	0.843148601240839	600
overall	all	all	Phytomni	OpenAI	0.672091352102111	600
overall	all	all	Phytomni	Phytomni		600
overall	all	all	Phytomni	Claude	0.612842260675216	600
overall	all	all	Claude	Gemini	0.478212003140188	600
overall	all	all	Claude	Grok	0.7725153283927	600
overall	all	all	Claude	OpenAI	0.564238962623799	600
overall	all	all	Claude	Phytomni	0.387157739324784	600
overall	all	all	Claude	Claude		600
well_studied	well_studied	all	Gemini	Gemini		300
well_studied	well_studied	all	Gemini	Grok	0.790552814268529	300
well_studied	well_studied	all	Gemini	OpenAI	0.604162712296038	300
well_studied	well_studied	all	Gemini	Phytomni	0.428845842652422	300
well_studied	well_studied	all	Gemini	Claude	0.526071239727392	300
well_studied	well_studied	all	Grok	Gemini	0.209447185731471	300
well_studied	well_studied	all	Grok	Grok		300
well_studied	well_studied	all	Grok	OpenAI	0.287937849914382	300
well_studied	well_studied	all	Grok	Phytomni	0.165920149999919	300
well_studied	well_studied	all	Grok	Claude	0.227254147496172	300
well_studied	well_studied	all	OpenAI	Gemini	0.395837287703962	300
well_studied	well_studied	all	OpenAI	Grok	0.712062150085618	300
well_studied	well_studied	all	OpenAI	OpenAI		300
well_studied	well_studied	all	OpenAI	Phytomni	0.329731000060876	300
well_studied	well_studied	all	OpenAI	Claude	0.421050934988407	300
well_studied	well_studied	all	Phytomni	Gemini	0.571154157347578	300
well_studied	well_studied	all	Phytomni	Grok	0.834079850000081	300
well_studied	well_studied	all	Phytomni	OpenAI	0.670268999939124	300
well_studied	well_studied	all	Phytomni	Phytomni		300
well_studied	well_studied	all	Phytomni	Claude	0.596509268541325	300
well_studied	well_studied	all	Claude	Gemini	0.473928760272608	300
well_studied	well_studied	all	Claude	Grok	0.772745852503828	300
well_studied	well_studied	all	Claude	OpenAI	0.578949065011593	300
well_studied	well_studied	all	Claude	Phytomni	0.403490731458675	300
well_studied	well_studied	all	Claude	Claude		300
well_studied.rice	well_studied	Rice	Gemini	Gemini		60
well_studied.rice	well_studied	Rice	Gemini	Grok	0.82906732288769	60
well_studied.rice	well_studied	Rice	Gemini	OpenAI	0.618358541252965	60
well_studied.rice	well_studied	Rice	Gemini	Phytomni	0.288181713280162	60
well_studied.rice	well_studied	Rice	Gemini	Claude	0.578473682834616	60
well_studied.rice	well_studied	Rice	Grok	Gemini	0.17093267711231	60
well_studied.rice	well_studied	Rice	Grok	Grok		60
well_studied.rice	well_studied	Rice	Grok	OpenAI	0.250406641417355	60
well_studied.rice	well_studied	Rice	Grok	Phytomni	0.0770398657486701	60
well_studied.rice	well_studied	Rice	Grok	Claude	0.220540265640144	60
well_studied.rice	well_studied	Rice	OpenAI	Gemini	0.381641458747035	60
well_studied.rice	well_studied	Rice	OpenAI	Grok	0.749593358582645	60
well_studied.rice	well_studied	Rice	OpenAI	OpenAI		60
well_studied.rice	well_studied	Rice	OpenAI	Phytomni	0.199916181615786	60
well_studied.rice	well_studied	Rice	OpenAI	Claude	0.458576157926163	60
well_studied.rice	well_studied	Rice	Phytomni	Gemini	0.711818286719838	60
well_studied.rice	well_studied	Rice	Phytomni	Grok	0.92296013425133	60
well_studied.rice	well_studied	Rice	Phytomni	OpenAI	0.800083818384214	60
well_studied.rice	well_studied	Rice	Phytomni	Phytomni		60
well_studied.rice	well_studied	Rice	Phytomni	Claude	0.772194149588466	60
well_studied.rice	well_studied	Rice	Claude	Gemini	0.421526317165384	60
well_studied.rice	well_studied	Rice	Claude	Grok	0.779459734359856	60
well_studied.rice	well_studied	Rice	Claude	OpenAI	0.541423842073837	60
well_studied.rice	well_studied	Rice	Claude	Phytomni	0.227805850411534	60
well_studied.rice	well_studied	Rice	Claude	Claude		60
well_studied.maize	well_studied	Maize	Gemini	Gemini		60
well_studied.maize	well_studied	Maize	Gemini	Grok	0.755317866728973	60
well_studied.maize	well_studied	Maize	Gemini	OpenAI	0.619196175157626	60
well_studied.maize	well_studied	Maize	Gemini	Phytomni	0.500728693755039	60
well_studied.maize	well_studied	Maize	Gemini	Claude	0.632895513278234	60
well_studied.maize	well_studied	Maize	Grok	Gemini	0.244682133271027	60
well_studied.maize	well_studied	Maize	Grok	Grok		60
well_studied.maize	well_studied	Maize	Grok	OpenAI	0.345011274762793	60
well_studied.maize	well_studied	Maize	Grok	Phytomni	0.24522122215256	60
well_studied.maize	well_studied	Maize	Grok	Claude	0.35835297263898	60
well_studied.maize	well_studied	Maize	OpenAI	Gemini	0.380803824842374	60
well_studied.maize	well_studied	Maize	OpenAI	Grok	0.654988725237207	60
well_studied.maize	well_studied	Maize	OpenAI	OpenAI		60
well_studied.maize	well_studied	Maize	OpenAI	Phytomni	0.38149134513144	60
well_studied.maize	well_studied	Maize	OpenAI	Claude	0.514626084067256	60
well_studied.maize	well_studied	Maize	Phytomni	Gemini	0.499271306244961	60
well_studied.maize	well_studied	Maize	Phytomni	Grok	0.75477877784744	60
well_studied.maize	well_studied	Maize	Phytomni	OpenAI	0.61850865486856	60
well_studied.maize	well_studied	Maize	Phytomni	Phytomni		60
well_studied.maize	well_studied	Maize	Phytomni	Claude	0.632218035570524	60
well_studied.maize	well_studied	Maize	Claude	Gemini	0.367104486721766	60
well_studied.maize	well_studied	Maize	Claude	Grok	0.64164702736102	60
well_studied.maize	well_studied	Maize	Claude	OpenAI	0.485373915932744	60
well_studied.maize	well_studied	Maize	Claude	Phytomni	0.367781964429476	60
well_studied.maize	well_studied	Maize	Claude	Claude		60
well_studied.wheat	well_studied	Wheat	Gemini	Gemini		60
well_studied.wheat	well_studied	Wheat	Gemini	Grok	0.777952620913099	60
well_studied.wheat	well_studied	Wheat	Gemini	OpenAI	0.610071698835896	60
well_studied.wheat	well_studied	Wheat	Gemini	Phytomni	0.53311537746505	60
well_studied.wheat	well_studied	Wheat	Gemini	Claude	0.529284594798114	60
well_studied.wheat	well_studied	Wheat	Grok	Gemini	0.222047379086901	60
well_studied.wheat	well_studied	Wheat	Grok	Grok		60
well_studied.wheat	well_studied	Wheat	Grok	OpenAI	0.308709115934579	60
well_studied.wheat	well_studied	Wheat	Grok	Phytomni	0.245803753073659	60
well_studied.wheat	well_studied	Wheat	Grok	Claude	0.242963131162444	60
well_studied.wheat	well_studied	Wheat	OpenAI	Gemini	0.389928301164104	60
well_studied.wheat	well_studied	Wheat	OpenAI	Grok	0.691290884065421	60
well_studied.wheat	well_studied	Wheat	OpenAI	OpenAI		60
well_studied.wheat	well_studied	Wheat	OpenAI	Phytomni	0.421905033444953	60
well_studied.wheat	well_studied	Wheat	OpenAI	Claude	0.418157651792059	60
well_studied.wheat	well_studied	Wheat	Phytomni	Gemini	0.46688462253495	60
well_studied.wheat	well_studied	Wheat	Phytomni	Grok	0.754196246926341	60
well_studied.wheat	well_studied	Wheat	Phytomni	OpenAI	0.578094966555047	60
well_studied.wheat	well_studied	Wheat	Phytomni	Phytomni		60
