Scope	StudyStatus	Species	Model	Rank	Count	Fraction	N
overall	all	all	Gemini	R1	101	0.168333333333333	600
overall	all	all	Gemini	R2	185	0.308333333333333	600
overall	all	all	Gemini	R3	154	0.256666666666667	600
overall	all	all	Gemini	R4	94	0.156666666666667	600
overall	all	all	Gemini	R5	66	0.11	600
overall	all	all	Grok	R1	28	0.0466666666666667	600
overall	all	all	Grok	R2	60	0.1	600
overall	all	all	Grok	R3	73	0.121666666666667	600
overall	all	all	Grok	R4	94	0.156666666666667	600
overall	all	all	Grok	R5	345	0.575	600
overall	all	all	OpenAI	R1	97	0.161666666666667	600
overall	all	all	OpenAI	R2	104	0.173333333333333	600
overall	all	all	OpenAI	R3	118	0.196666666666667	600
overall	all	all	OpenAI	R4	203	0.338333333333333	600
overall	all	all	OpenAI	R5	78	0.13	600
overall	all	all	Phytomni	R1	260	0.433333333333333	600
overall	all	all	Phytomni	R2	117	0.195	600
overall	all	all	Phytomni	R3	90	0.15	600
overall	all	all	Phytomni	R4	88	0.146666666666667	600
overall	all	all	Phytomni	R5	45	0.075	600
overall	all	all	Claude	R1	114	0.19	600
overall	all	all	Claude	R2	134	0.223333333333333	600
overall	all	all	Claude	R3	165	0.275	600
overall	all	all	Claude	R4	121	0.201666666666667	600
overall	all	all	Claude	R5	66	0.11	600
well_studied	well_studied	all	Gemini	R1	49	0.163333333333333	300
well_studied	well_studied	all	Gemini	R2	101	0.336666666666667	300
well_studied	well_studied	all	Gemini	R3	75	0.25	300
well_studied	well_studied	all	Gemini	R4	45	0.15	300
well_studied	well_studied	all	Gemini	R5	30	0.1	300
well_studied	well_studied	all	Grok	R1	15	0.05	300
well_studied	well_studied	all	Grok	R2	27	0.09	300
well_studied	well_studied	all	Grok	R3	41	0.136666666666667	300
well_studied	well_studied	all	Grok	R4	47	0.156666666666667	300
well_studied	well_studied	all	Grok	R5	170	0.566666666666667	300
well_studied	well_studied	all	OpenAI	R1	47	0.156666666666667	300
well_studied	well_studied	all	OpenAI	R2	54	0.18	300
well_studied	well_studied	all	OpenAI	R3	58	0.193333333333333	300
well_studied	well_studied	all	OpenAI	R4	95	0.316666666666667	300
well_studied	well_studied	all	OpenAI	R5	46	0.153333333333333	300
well_studied	well_studied	all	Phytomni	R1	130	0.433333333333333	300
well_studied	well_studied	all	Phytomni	R2	55	0.183333333333333	300
well_studied	well_studied	all	Phytomni	R3	40	0.133333333333333	300
well_studied	well_studied	all	Phytomni	R4	51	0.17	300
well_studied	well_studied	all	Phytomni	R5	24	0.08	300
well_studied	well_studied	all	Claude	R1	59	0.196666666666667	300
well_studied	well_studied	all	Claude	R2	63	0.21	300
well_studied	well_studied	all	Claude	R3	86	0.286666666666667	300
well_studied	well_studied	all	Claude	R4	62	0.206666666666667	300
well_studied	well_studied	all	Claude	R5	30	0.1	300
well_studied.rice	well_studied	Rice	Gemini	R1	7	0.116666666666667	60
well_studied.rice	well_studied	Rice	Gemini	R2	26	0.433333333333333	60
well_studied.rice	well_studied	Rice	Gemini	R3	10	0.166666666666667	60
well_studied.rice	well_studied	Rice	Gemini	R4	12	0.2	60
well_studied.rice	well_studied	Rice	Gemini	R5	5	0.0833333333333333	60
well_studied.rice	well_studied	Rice	Grok	R1	1	0.0166666666666667	60
well_studied.rice	well_studied	Rice	Grok	R2	6	0.1	60
well_studied.rice	well_studied	Rice	Grok	R3	9	0.15	60
well_studied.rice	well_studied	Rice	Grok	R4	6	0.1	60
well_studied.rice	well_studied	Rice	Grok	R5	38	0.633333333333333	60
well_studied.rice	well_studied	Rice	OpenAI	R1	6	0.1	60
well_studied.rice	well_studied	Rice	OpenAI	R2	10	0.166666666666667	60
well_studied.rice	well_studied	Rice	OpenAI	R3	15	0.25	60
well_studied.rice	well_studied	Rice	OpenAI	R4	22	0.366666666666667	60
well_studied.rice	well_studied	Rice	OpenAI	R5	7	0.116666666666667	60
well_studied.rice	well_studied	Rice	Phytomni	R1	37	0.616666666666667	60
well_studied.rice	well_studied	Rice	Phytomni	R2	9	0.15	60
well_studied.rice	well_studied	Rice	Phytomni	R3	6	0.1	60
