Species	Gene	Expert	Gemini	Grok	OpenAI	Phytomni
Arabidopsis	AT1G06390	HNE4GPfs7H4ytGhINIco7gJjFWVpIVL7	R3	R2	R4	R1
Arabidopsis	AT1G06390	FmJzIBe8UN3zoK17WCfUhKbqJB5Rekw9	R2	R4	R3	R1
Arabidopsis	AT1G06390	das96UL0Z3WQh93YRhioZfyaU6V5tfYc	R2	R4	R1	R3
Arabidopsis	AT1G14920	i5JEk8Bsp7eTykPjOwpVMSOT8kEsX2LF	R1	R4	R2	R3
Arabidopsis	AT1G14920	4rCj2ilheXyhMJ2S8hDyULYUgiyw2qme	R4	R1	R2	R3
Arabidopsis	AT1G14920	FfsTs6myGcWQYioYLjxK2q82xfpkrMuj	R2	R4	R3	R1
Arabidopsis	AT1G19350	i5JEk8Bsp7eTykPjOwpVMSOT8kEsX2LF	R1	R4	R2	R3
Arabidopsis	AT1G19350	HNE4GPfs7H4ytGhINIco7gJjFWVpIVL7	R2	R4	R3	R1
Arabidopsis	AT1G19350	4rCj2ilheXyhMJ2S8hDyULYUgiyw2qme	R4	R3	R2	R1
Arabidopsis	AT1G25250	Rv90Rn3UYrgTOzTCcVkOlYsEQ5T5Oxcs	R4	R2	R1	R3
Arabidopsis	AT1G25250	ozztRTPvZZywiXm2kJwRL7cDqqk0EEIS	R4	R3	R1	R2
Arabidopsis	AT1G25250	yCD0RUz7Q4c0Sw1hOPedLcQ1GiX1D5vD	R2	R1	R4	R3
Arabidopsis	AT1G44090	BgtIaPgekKHUKgSPXVWjFbH1QDG3CSii	R2	R4	R3	R1
Arabidopsis	AT1G44090	B7C2hFFqRZavQpnsmlZm70Yn1YDVAlEu	R1	R2	R3	R4
Arabidopsis	AT1G44090	GwGcKwdNp0WogNcvEU1zueyq72qS44cd	R2	R4	R3	R1
Arabidopsis	AT1G66350	i5JEk8Bsp7eTykPjOwpVMSOT8kEsX2LF	R1	R4	R2	R3
Arabidopsis	AT1G66350	B7C2hFFqRZavQpnsmlZm70Yn1YDVAlEu	R1	R2	R4	R3
Arabidopsis	AT1G66350	7JfRfuxctQqaKN5OBoT97cw9oVIKUoG2	R3	R2	R4	R1
Arabidopsis	AT1G67260	BgtIaPgekKHUKgSPXVWjFbH1QDG3CSii	R2	R4	R3	R1
Arabidopsis	AT1G67260	nnBJR8qPlkSJkZZ67rGCH5pU1kQadlb6	R2	R4	R1	R3
Arabidopsis	AT1G67260	FfsTs6myGcWQYioYLjxK2q82xfpkrMuj	R2	R4	R3	R1
Arabidopsis	AT1G68130	lTIVcyeUdu9VdbRrIBgXBPqzmiQSpdpN	R4	R2	R1	R3
Arabidopsis	AT1G68130	HNE4GPfs7H4ytGhINIco7gJjFWVpIVL7	R2	R3	R4	R1
Arabidopsis	AT1G68130	yCD0RUz7Q4c0Sw1hOPedLcQ1GiX1D5vD	R3	R4	R1	R2
Arabidopsis	AT1G75080	9NgQS8Vdcfo9WU44QSg8jUtsDSdqN1Qa	R1	R3	R2	R4
Arabidopsis	AT1G75080	4rCj2ilheXyhMJ2S8hDyULYUgiyw2qme	R1	R3	R2	R4
Arabidopsis	AT1G75080	das96UL0Z3WQh93YRhioZfyaU6V5tfYc	R3	R4	R2	R1
Arabidopsis	AT2G18790	YyuPjwO8oeJOFpVHfEY2CuWM5B2HmHZJ	R1	R2	R3	R4
Arabidopsis	AT2G18790	RvDf7n7vyDdOVL0cBpmMcuQFA8WnPaXl	R1	R4	R2	R3
Arabidopsis	AT2G18790	Z2Re1YYanyd3BX7m9rgmyc70NQahe5VO	R2	R4	R3	R1
Arabidopsis	AT2G38050	nnBJR8qPlkSJkZZ67rGCH5pU1kQadlb6	R4	R3	R1	R2
Arabidopsis	AT2G38050	4rCj2ilheXyhMJ2S8hDyULYUgiyw2qme	R2	R1	R3	R4
Arabidopsis	AT2G38050	FmJzIBe8UN3zoK17WCfUhKbqJB5Rekw9	R4	R3	R1	R2
Arabidopsis	AT3G50660	7JfRfuxctQqaKN5OBoT97cw9oVIKUoG2	R4	R3	R2	R1
Arabidopsis	AT3G50660	RvDf7n7vyDdOVL0cBpmMcuQFA8WnPaXl	R1	R4	R3	R2
Arabidopsis	AT3G50660	i1Syx9VE1NQa3uplXMZa7c0Km02oacuw	R3	R4	R1	R2
Arabidopsis	AT2G46790	Z2Re1YYanyd3BX7m9rgmyc70NQahe5VO	R2	R4	R3	R1
Arabidopsis	AT2G46790	bPLHrdj7IYlWxm87AjmCeKzs8jHGoYZc	R2	R4	R3	R1
Arabidopsis	AT2G46790	NEIXiSHOwURZAxPDf4p4a97FSDCVuV1Y	R1	R3	R2	R4
Arabidopsis	AT5G37020	B7C2hFFqRZavQpnsmlZm70Yn1YDVAlEu	R2	R4	R1	R3
Arabidopsis	AT5G37020	nnBJR8qPlkSJkZZ67rGCH5pU1kQadlb6	R2	R4	R1	R3
Arabidopsis	AT5G37020	7lWv6NNdRG1vngN2Qz8k3iy3v5HFfGYj	R2	R4	R3	R1
Arabidopsis	AT5G24470	Rv90Rn3UYrgTOzTCcVkOlYsEQ5T5Oxcs	R2	R4	R3	R1
Arabidopsis	AT5G24470	lTIVcyeUdu9VdbRrIBgXBPqzmiQSpdpN	R1	R3	R2	R4
Arabidopsis	AT5G24470	ozztRTPvZZywiXm2kJwRL7cDqqk0EEIS	R3	R1	R4	R2
Arabidopsis	AT4G21690	lTIVcyeUdu9VdbRrIBgXBPqzmiQSpdpN	R4	R3	R1	R2
Arabidopsis	AT4G21690	RvDf7n7vyDdOVL0cBpmMcuQFA8WnPaXl	R1	R4	R3	R2
Arabidopsis	AT4G21690	das96UL0Z3WQh93YRhioZfyaU6V5tfYc	R1	R4	R2	R3
Arabidopsis	AT4G18390	Rv90Rn3UYrgTOzTCcVkOlYsEQ5T5Oxcs	R3	R4	R2	R1
Arabidopsis	AT4G18390	B7C2hFFqRZavQpnsmlZm70Yn1YDVAlEu	R1	R4	R2	R3
Arabidopsis	AT4G18390	9NgQS8Vdcfo9WU44QSg8jUtsDSdqN1Qa	R1	R3	R2	R4
Arabidopsis	AT5G51810	BgtIaPgekKHUKgSPXVWjFbH1QDG3CSii	R2	R4	R3	R1
Arabidopsis	AT5G51810	bPLHrdj7IYlWxm87AjmCeKzs8jHGoYZc	R2	R4	R3	R1
Arabidopsis	AT5G51810	i1Syx9VE1NQa3uplXMZa7c0Km02oacuw	R4	R2	R3	R1
Arabidopsis	AT5G61380	YyuPjwO8oeJOFpVHfEY2CuWM5B2HmHZJ	R2	R3	R1	R4
Arabidopsis	AT5G61380	nnBJR8qPlkSJkZZ67rGCH5pU1kQadlb6	R2	R3	R4	R1
Arabidopsis	AT5G61380	GwGcKwdNp0WogNcvEU1zueyq72qS44cd	R2	R4	R3	R1
Arabidopsis	AT5G62000	BgtIaPgekKHUKgSPXVWjFbH1QDG3CSii	R2	R4	R3	R1
Arabidopsis	AT5G62000	i5JEk8Bsp7eTykPjOwpVMSOT8kEsX2LF	R1	R3	R2	R4
Arabidopsis	AT5G62000	ozztRTPvZZywiXm2kJwRL7cDqqk0EEIS	R3	R1	R2	R4
Rice	Os01g0169800	MKEE4MrTiNXe19vQameQ6mFKMp95bj8Y	R2	R4	R3	R1
Rice	Os01g0169800	riP87EITsEAkBcIlP7XgsmL6ailXibB6	R2	R3	R4	R1
Rice	Os01g0169800	m8f0vNobsJjeG82CjcjirCznul01sBuk	R2	R3	R4	R1
Rice	Os01g0177400	MKEE4MrTiNXe19vQameQ6mFKMp95bj8Y	R2	R4	R3	R1
Rice	Os01g0177400	riP87EITsEAkBcIlP7XgsmL6ailXibB6	R2	R4	R3	R1
Rice	Os01g0177400	r3Gi5fiijC7oj846JOtRHMAFQh690qba	R2	R4	R3	R1
Rice	Os01g0197100	te1U6PMtesn67xUp3P2aOyJutfkhL7Ms	R2	R4	R3	R1
Rice	Os01g0197100	32VNA9hrEKsqE3cyQ7YMCqYKlfxc03Hk	R2	R4	R3	R1
Rice	Os01g0197100	LOayh0PEmiXPuOm8g3Oi1BvNOhCiX69k	R2	R3	R4	R1
Rice	Os01g0678500	q32dxeA2gGIb2PvtDE7AM7OuZs3fLEmX	R2	R4	R3	R1
Rice	Os01g0678500	m8f0vNobsJjeG82CjcjirCznul01sBuk	R2	R3	R4	R1
Rice	Os01g0678500	LOayh0PEmiXPuOm8g3Oi1BvNOhCiX69k	R2	R3	R4	R1
Rice	Os01g0757200	m8f0vNobsJjeG82CjcjirCznul01sBuk	R2	R3	R4	R1
Rice	Os01g0757200	QDj2wTd8V8ng3yublBMPvBTW1d7f2G04	R2	R3	R4	R1
Rice	Os01g0757200	G99f9r3pJsecytMl1Ld9iCDajtwVJU1Z	R1	R3	R2	R4
Rice	Os01g0883800	32VNA9hrEKsqE3cyQ7YMCqYKlfxc03Hk	R3	R4	R2	R1
Rice	Os01g0883800	q32dxeA2gGIb2PvtDE7AM7OuZs3fLEmX	R2	R4	R3	R1
Rice	Os01g0883800	itGDaWd3SA7un7zfUMyjiK2imQpQm7I7	R2	R4	R1	R3
Rice	Os02g0278700	fLzsihd0OonagKOPuvzw7coN34NZhGsQ	R2	R4	R3	R1
Rice	Os02g0278700	QDj2wTd8V8ng3yublBMPvBTW1d7f2G04	R1	R4	R3	R2
Rice	Os02g0278700	jwRdF790bUDhpVAFqIIFAdKcVTa5Oroq	R4	R2	R3	R1
