Species	Gene	StudyStatus	Model	DirectionalPairCount	MeanDirectionalContradictionRatio	HighContradiction
Arabidopsis	AT1G07140	uncharacterized	Claude	6	0.434690399934302	False
Arabidopsis	AT1G28080	uncharacterized	Claude	6	0.286845243699589	False
Arabidopsis	AT1G44130	uncharacterized	Claude	6	0.327728957436633	False
Arabidopsis	AT1G50575	uncharacterized	Claude	6	0.41110347985348	False
Arabidopsis	AT1G51040	uncharacterized	Claude	6	0.680333278336908	True
Arabidopsis	AT1G66250	uncharacterized	Claude	6	0.381983348895114	False
Arabidopsis	AT1G73950	uncharacterized	Claude	6	0.699402275530095	True
Arabidopsis	AT1G77480	uncharacterized	Claude	6	0.382374727668845	False
Arabidopsis	AT2G47120	uncharacterized	Claude	6	0.249966261808367	False
Arabidopsis	AT2G47150	uncharacterized	Claude	6	0.427668845315904	False
Arabidopsis	AT3G11280	uncharacterized	Claude	6	0.525510320058192	False
Arabidopsis	AT3G29260	uncharacterized	Claude	6	0.503225264738423	False
Arabidopsis	AT4G01730	uncharacterized	Claude	6	0.731087151841869	True
Arabidopsis	AT4G26701	uncharacterized	Claude	6	0.579655172413793	False
Arabidopsis	AT4G33490	uncharacterized	Claude	6	0.460232738240809	False
Arabidopsis	AT5G01200	uncharacterized	Claude	6	0.595117845117845	False
Arabidopsis	AT5G05790	uncharacterized	Claude	6	0.44812030075188	False
Arabidopsis	AT5G13250	uncharacterized	Claude	6	0.285445922641045	False
Arabidopsis	AT5G57890	uncharacterized	Claude	6	0.330217831813577	False
Arabidopsis	AT5G67460	uncharacterized	Claude	6	0.720518225735617	True
Soybean	GLYMA_01G005500	uncharacterized	Claude	6	0.404478184188329	False
Soybean	GLYMA_01G104200	uncharacterized	Claude	6	0.666746031746032	True
Soybean	GLYMA_02G007900	uncharacterized	Claude	6	0.395114942528736	False
Soybean	GLYMA_02G254200	uncharacterized	Claude	6	0.302294837778709	False
Soybean	GLYMA_03G070900	uncharacterized	Claude	6	0.30510376895249	False
Soybean	GLYMA_03G239400	uncharacterized	Claude	6	0.319145114942529	False
Soybean	GLYMA_04G211100	uncharacterized	Claude	6	0.530072754507035	False
Soybean	GLYMA_05G037800	uncharacterized	Claude	6	0.643076189178138	True
