Species	Gene	StudyStatus	Model	SourceResponseID	TargetResponseID	WindowJudgmentCount	EntailmentCount	ContradictionCount	NeutralCount	SupportRatio	ContradictionRatio	JudgmentLogSHA256
Arabidopsis	AT1G07140	uncharacterized	Claude	rep_1	rep_2	41	12	19	10	0.292682926829268	0.463414634146341	e4340b1973d5f1849ce809fb2616aec276b4380c016e1cfcdc1898a5d8966f22
Arabidopsis	AT1G07140	uncharacterized	Claude	rep_1	rep_3	41	10	19	12	0.24390243902439	0.463414634146341	e4340b1973d5f1849ce809fb2616aec276b4380c016e1cfcdc1898a5d8966f22
Arabidopsis	AT1G07140	uncharacterized	Claude	rep_2	rep_1	44	18	16	10	0.409090909090909	0.363636363636364	e4340b1973d5f1849ce809fb2616aec276b4380c016e1cfcdc1898a5d8966f22
Arabidopsis	AT1G07140	uncharacterized	Claude	rep_2	rep_3	44	18	13	13	0.409090909090909	0.295454545454545	e4340b1973d5f1849ce809fb2616aec276b4380c016e1cfcdc1898a5d8966f22
Arabidopsis	AT1G07140	uncharacterized	Claude	rep_3	rep_1	45	13	24	8	0.288888888888889	0.533333333333333	e4340b1973d5f1849ce809fb2616aec276b4380c016e1cfcdc1898a5d8966f22
Arabidopsis	AT1G07140	uncharacterized	Claude	rep_3	rep_2	45	18	22	5	0.4	0.488888888888889	e4340b1973d5f1849ce809fb2616aec276b4380c016e1cfcdc1898a5d8966f22
Arabidopsis	AT1G28080	uncharacterized	Claude	rep_1	rep_2	39	17	14	8	0.435897435897436	0.358974358974359	0be587534f066a47a8adffe5620ca869efa661cc6ccb787ab1ff5331244a197a
Arabidopsis	AT1G28080	uncharacterized	Claude	rep_1	rep_3	39	20	13	6	0.512820512820513	0.333333333333333	0be587534f066a47a8adffe5620ca869efa661cc6ccb787ab1ff5331244a197a
Arabidopsis	AT1G28080	uncharacterized	Claude	rep_2	rep_1	43	20	11	12	0.465116279069767	0.255813953488372	0be587534f066a47a8adffe5620ca869efa661cc6ccb787ab1ff5331244a197a
Arabidopsis	AT1G28080	uncharacterized	Claude	rep_2	rep_3	43	18	14	11	0.418604651162791	0.325581395348837	0be587534f066a47a8adffe5620ca869efa661cc6ccb787ab1ff5331244a197a
Arabidopsis	AT1G28080	uncharacterized	Claude	rep_3	rep_1	38	20	8	10	0.526315789473684	0.210526315789474	0be587534f066a47a8adffe5620ca869efa661cc6ccb787ab1ff5331244a197a
Arabidopsis	AT1G28080	uncharacterized	Claude	rep_3	rep_2	38	17	9	12	0.447368421052632	0.236842105263158	0be587534f066a47a8adffe5620ca869efa661cc6ccb787ab1ff5331244a197a
Arabidopsis	AT1G44130	uncharacterized	Claude	rep_1	rep_2	32	20	8	4	0.625	0.25	e982ea880612389dba6605a16a4be799a4c9f70570b999dd2ac7adafe5aceb6b
Arabidopsis	AT1G44130	uncharacterized	Claude	rep_1	rep_3	32	16	10	6	0.5	0.3125	e982ea880612389dba6605a16a4be799a4c9f70570b999dd2ac7adafe5aceb6b
Arabidopsis	AT1G44130	uncharacterized	Claude	rep_2	rep_1	34	16	15	3	0.470588235294118	0.441176470588235	e982ea880612389dba6605a16a4be799a4c9f70570b999dd2ac7adafe5aceb6b
Arabidopsis	AT1G44130	uncharacterized	Claude	rep_2	rep_3	34	18	12	4	0.529411764705882	0.352941176470588	e982ea880612389dba6605a16a4be799a4c9f70570b999dd2ac7adafe5aceb6b
Arabidopsis	AT1G44130	uncharacterized	Claude	rep_3	rep_1	41	23	10	8	0.560975609756098	0.24390243902439	e982ea880612389dba6605a16a4be799a4c9f70570b999dd2ac7adafe5aceb6b
Arabidopsis	AT1G44130	uncharacterized	Claude	rep_3	rep_2	41	22	15	4	0.536585365853659	0.365853658536585	e982ea880612389dba6605a16a4be799a4c9f70570b999dd2ac7adafe5aceb6b
Arabidopsis	AT1G50575	uncharacterized	Claude	rep_1	rep_2	26	12	12	2	0.461538461538462	0.461538461538462	6008c25c4e6f1ec7009bad37d1f58709df08daa62c64f24d6c924437ea320be6
Arabidopsis	AT1G50575	uncharacterized	Claude	rep_1	rep_3	26	17	9	0	0.653846153846154	0.346153846153846	6008c25c4e6f1ec7009bad37d1f58709df08daa62c64f24d6c924437ea320be6
Arabidopsis	AT1G50575	uncharacterized	Claude	rep_2	rep_1	35	14	17	4	0.4	0.485714285714286	6008c25c4e6f1ec7009bad37d1f58709df08daa62c64f24d6c924437ea320be6
Arabidopsis	AT1G50575	uncharacterized	Claude	rep_2	rep_3	35	17	17	1	0.485714285714286	0.485714285714286	6008c25c4e6f1ec7009bad37d1f58709df08daa62c64f24d6c924437ea320be6
Arabidopsis	AT1G50575	uncharacterized	Claude	rep_3	rep_1	32	21	9	2	0.65625	0.28125	6008c25c4e6f1ec7009bad37d1f58709df08daa62c64f24d6c924437ea320be6
Arabidopsis	AT1G50575	uncharacterized	Claude	rep_3	rep_2	32	13	13	6	0.40625	0.40625	6008c25c4e6f1ec7009bad37d1f58709df08daa62c64f24d6c924437ea320be6
Arabidopsis	AT1G51040	uncharacterized	Claude	rep_1	rep_2	19	0	13	6	0	0.684210526315789	4620d066509c66243538c8258a45653a6e62921c65d9e56d7c8811e9d570bc51
Arabidopsis	AT1G51040	uncharacterized	Claude	rep_1	rep_3	19	7	10	2	0.368421052631579	0.526315789473684	4620d066509c66243538c8258a45653a6e62921c65d9e56d7c8811e9d570bc51
Arabidopsis	AT1G51040	uncharacterized	Claude	rep_2	rep_1	29	4	24	1	0.137931034482759	0.827586206896552	4620d066509c66243538c8258a45653a6e62921c65d9e56d7c8811e9d570bc51
Arabidopsis	AT1G51040	uncharacterized	Claude	rep_2	rep_3	29	2	25	2	0.0689655172413793	0.862068965517241	4620d066509c66243538c8258a45653a6e62921c65d9e56d7c8811e9d570bc51
