Species	Gene	StudyStatus	NExperts	NModels	KendallW	MeanPairwiseKendallTau	Top1AgreementPattern
Rice	Os01g0107900	uncharacterized	3	5	0.488888888888889	0.2	majority_2_of_3
Rice	Os01g0134700	uncharacterized	3	5	0.111111111111111	-0.333333333333333	all_different
Rice	Os01g0169800	well_studied	3	5	0.866666666666667	0.733333333333333	majority_2_of_3
Rice	Os01g0177400	well_studied	3	5	0.644444444444444	0.333333333333333	unanimous
Rice	Os01g0197100	well_studied	3	5	0.555555555555556	0.2	majority_2_of_3
Rice	Os01g0678500	well_studied	3	5	0.6	0.333333333333333	unanimous
Rice	Os01g0757200	well_studied	3	5	0.0222222222222222	-0.333333333333333	all_different
Rice	Os01g0883800	well_studied	3	5	0.4	0.2	majority_2_of_3
Rice	Os02g0278700	well_studied	3	5	0.288888888888889	-0.0666666666666667	majority_2_of_3
Rice	Os02g0580500	uncharacterized	3	5	0.955555555555556	0.866666666666667	unanimous
Rice	Os02g0707200	well_studied	3	5	0.577777777777778	0.333333333333333	majority_2_of_3
Rice	Os02g0821600	uncharacterized	3	5	0.666666666666667	0.333333333333333	majority_2_of_3
Rice	Os03g0160600	uncharacterized	3	5	0.377777777777778	0.0666666666666667	all_different
Rice	Os03g0221500	uncharacterized	3	5	0.111111111111111	-0.333333333333333	all_different
Rice	Os03g0436300	uncharacterized	3	5	0.333333333333333	-0.0666666666666667	all_different
Rice	Os03g0587100	uncharacterized	3	5	0.644444444444444	0.466666666666667	majority_2_of_3
Rice	Os03g0602300	well_studied	3	5	0.511111111111111	0.2	majority_2_of_3
Rice	Os03g0722400	well_studied	3	5	0.511111111111111	0.333333333333333	majority_2_of_3
Rice	Os03g0783000	uncharacterized	3	5	0.622222222222222	0.333333333333333	majority_2_of_3
Rice	Os03g0811700	uncharacterized	3	5	0.466666666666667	0.2	majority_2_of_3
Rice	Os03g0833100	uncharacterized	3	5	0.955555555555556	0.866666666666667	unanimous
Rice	Os03g0850100	uncharacterized	3	5	0.777777777777778	0.6	majority_2_of_3
Rice	Os04g0178300	well_studied	3	5	0.822222222222222	0.6	unanimous
Rice	Os04g0448900	well_studied	3	5	0.511111111111111	0.2	majority_2_of_3
Rice	Os04g0462900	uncharacterized	3	5	0.377777777777778	0.0666666666666667	all_different
Rice	Os04g0463500	well_studied	3	5	0.6	0.333333333333333	majority_2_of_3
