Scope	StudyStatus	Species	RowModel	ColumnModel	Probability	CI95Lower	CI95Upper	NJudgments	NExperts	NGenes	SuccessfulReplicates	FailedFits	SeedStream
overall	all	all	Gemini	Grok	0.787475704685211	0.727299308576928	0.842423913965995	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Gemini	OpenAI	0.585548014368565	0.521506213499202	0.649056478349144	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Gemini	Phytomni	0.408041375781492	0.344884232219191	0.471476522938583	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Gemini	Claude	0.521787996859812	0.460866058850462	0.580453028253748	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Grok	Gemini	0.212524295314789	0.157576086034005	0.272700691423072	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Grok	OpenAI	0.276041040693841	0.224516976367848	0.3291128445401	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Grok	Phytomni	0.156851398759161	0.10658775930572	0.216090446301645	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Grok	Claude	0.2274846716073	0.172508634972611	0.288007677807394	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	OpenAI	Gemini	0.414451985631435	0.350943521650856	0.478493786500798	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	OpenAI	Grok	0.723958959306159	0.6708871554599	0.775483023632152	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	OpenAI	Phytomni	0.327908647897889	0.256928965035374	0.399783874249252	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	OpenAI	Claude	0.435761037376201	0.374687553517105	0.498149107986647	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Phytomni	Gemini	0.591958624218508	0.528523477061417	0.655115767780809	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Phytomni	Grok	0.843148601240839	0.783909553698355	0.89341224069428	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Phytomni	OpenAI	0.672091352102111	0.600216125750748	0.743071034964626	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Phytomni	Claude	0.612842260675216	0.540773061097485	0.6838102815972	600	120	200	10000	0	pl_expert_gene_components
