Scope	StudyStatus	Species	Model	IntervalAnalysis	Estimate	CI95Lower	CI95Upper	NJudgments	NExperts	NGenes	SuccessfulReplicates	FailedFits	SeedStream
overall	all	all	Gemini	crossed_expert_gene	1547.61626636686	1519.19875803402	1576.09997779961	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Gemini	expert_cluster	1547.61626636686	1528.40451000367	1567.93148556321	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Gemini	gene_cluster	1547.61626636686	1533.14632497525	1561.81632336024	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Grok	crossed_expert_gene	1320.08483479573	1276.14698209309	1359.31252176338	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Grok	expert_cluster	1320.08483479573	1286.74139920826	1350.70052477849	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Grok	gene_cluster	1320.08483479573	1301.03488694722	1337.77237352179	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	OpenAI	crossed_expert_gene	1487.58095119858	1459.82986187739	1514.68356884838	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	OpenAI	expert_cluster	1487.58095119858	1468.94213847805	1506.26647735806	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	OpenAI	gene_cluster	1487.58095119858	1472.72695193951	1502.48967780045	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Phytomni	crossed_expert_gene	1612.25112595302	1575.24261528286	1654.19616256921	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Phytomni	expert_cluster	1612.25112595302	1584.33414134219	1643.50758558134	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Phytomni	gene_cluster	1612.25112595302	1594.5586819748	1630.88032016121	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Claude	crossed_expert_gene	1532.46682168581	1503.40853937467	1561.67225840657	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Claude	expert_cluster	1532.46682168581	1513.28887565615	1552.54604774512	600	120	200	10000	0	pl_expert_gene_components
overall	all	all	Claude	gene_cluster	1532.46682168581	1517.52733759003	1547.92202445148	600	120	200	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Gemini	crossed_expert_gene	1554.50983460699	1516.90309188345	1590.95199214429	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Gemini	expert_cluster	1554.50983460699	1530.51456587573	1578.62650571606	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Gemini	gene_cluster	1554.50983460699	1535.09691529857	1574.29028677356	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Grok	crossed_expert_gene	1323.76729069932	1266.6765789468	1373.24201908734	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Grok	expert_cluster	1323.76729069932	1284.37568766544	1358.31800788234	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Grok	gene_cluster	1323.76729069932	1296.16335547008	1348.68746635331	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	OpenAI	crossed_expert_gene	1481.05494827407	1442.04995675578	1519.06821396455	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	OpenAI	expert_cluster	1481.05494827407	1456.95610613606	1506.33716424353	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	OpenAI	gene_cluster	1481.05494827407	1459.69670424131	1502.89474513043	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Phytomni	crossed_expert_gene	1604.29068982388	1555.87603829027	1660.10416356811	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Phytomni	expert_cluster	1604.29068982388	1569.02870911803	1643.38271542544	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Phytomni	gene_cluster	1604.29068982388	1580.09732042459	1630.57692470529	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Claude	crossed_expert_gene	1536.37723659574	1502.58182405764	1571.47502272034	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Claude	expert_cluster	1536.37723659574	1515.81759489075	1558.16707383005	300	118	100	10000	0	pl_expert_gene_components
well_studied	well_studied	all	Claude	gene_cluster	1536.37723659574	1518.14183634798	1554.82900163969	300	118	100	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Gemini	crossed_expert_gene	1551.20845681418	1457.08674272431	1652.39030370936	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Gemini	expert_cluster	1551.20845681418	1496.87052315884	1614.95362967977	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Gemini	gene_cluster	1551.20845681418	1501.7656073505	1602.52334812335	60	23	20	10000	0	pl_expert_gene_components
