ScopeID	AnalysisTier	ScopeFamily	Species	StudyStatus	Top1AgreementPattern	Count	Fraction	FractionCILower	FractionCIUpper	NGenes	NContributingExperts	BootstrapAttempted	BootstrapReplicates	BootstrapInvalid	BootstrapUnit	BootstrapStrata	SeedStream
overall	primary	overall	all	all	unanimous	25	0.125	0.08	0.17	200	120	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
overall	primary	overall	all	all	majority_2_of_3	107	0.535	0.47	0.600124999999998	200	120	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
overall	primary	overall	all	all	all_different	68	0.34	0.275	0.4	200	120	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.rice	locked_secondary	species	Rice	all	unanimous	5	0.125	0.025	0.225	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.rice	locked_secondary	species	Rice	all	majority_2_of_3	23	0.575	0.425	0.725	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.rice	locked_secondary	species	Rice	all	all_different	12	0.3	0.175	0.45	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.maize	locked_secondary	species	Maize	all	unanimous	3	0.075	0	0.150624999999991	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.maize	locked_secondary	species	Maize	all	majority_2_of_3	25	0.625	0.475	0.775	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.maize	locked_secondary	species	Maize	all	all_different	12	0.3	0.175	0.45	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.wheat	locked_secondary	species	Wheat	all	unanimous	2	0.05	0	0.125	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.wheat	locked_secondary	species	Wheat	all	majority_2_of_3	17	0.425	0.275	0.575	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.wheat	locked_secondary	species	Wheat	all	all_different	21	0.525	0.375	0.675	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.soybean	locked_secondary	species	Soybean	all	unanimous	5	0.125	0.025	0.225	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.soybean	locked_secondary	species	Soybean	all	majority_2_of_3	21	0.525	0.375	0.675	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.soybean	locked_secondary	species	Soybean	all	all_different	14	0.35	0.2	0.5	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.arabidopsis	locked_secondary	species	Arabidopsis	all	unanimous	10	0.25	0.125	0.4	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.arabidopsis	locked_secondary	species	Arabidopsis	all	majority_2_of_3	21	0.525	0.375	0.675	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species.arabidopsis	locked_secondary	species	Arabidopsis	all	all_different	9	0.225	0.1	0.35	40	24	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
study_status.well_studied	locked_secondary	study_status	all	well_studied	unanimous	12	0.12	0.06	0.18	100	118	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
study_status.well_studied	locked_secondary	study_status	all	well_studied	majority_2_of_3	51	0.51	0.42	0.61	100	118	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
study_status.well_studied	locked_secondary	study_status	all	well_studied	all_different	37	0.37	0.28	0.46	100	118	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
study_status.uncharacterized	locked_secondary	study_status	all	uncharacterized	unanimous	13	0.13	0.07	0.2	100	115	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
study_status.uncharacterized	locked_secondary	study_status	all	uncharacterized	majority_2_of_3	56	0.56	0.47	0.65	100	115	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
study_status.uncharacterized	locked_secondary	study_status	all	uncharacterized	all_different	31	0.31	0.22	0.4	100	115	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.rice.well_studied	locked_exploratory	species_study_status	Rice	well_studied	unanimous	3	0.15	0	0.3	20	23	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.rice.well_studied	locked_exploratory	species_study_status	Rice	well_studied	majority_2_of_3	13	0.65	0.45	0.85	20	23	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.rice.well_studied	locked_exploratory	species_study_status	Rice	well_studied	all_different	4	0.2	0.05	0.4	20	23	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.rice.uncharacterized	locked_exploratory	species_study_status	Rice	uncharacterized	unanimous	2	0.1	0	0.25	20	23	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.rice.uncharacterized	locked_exploratory	species_study_status	Rice	uncharacterized	majority_2_of_3	10	0.5	0.3	0.7	20	23	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
species_study_status.rice.uncharacterized	locked_exploratory	species_study_status	Rice	uncharacterized	all_different	8	0.4	0.2	0.6	20	23	10000	10000	0	gene	Species x StudyStatus	agreement_gene_blocks
