Species	Gene	Expert	Gemini	Grok	OpenAI	Phytomni
Maize	Zm00001eb029300	V6KzqPvGTIYewC2PhsffzwCEWkrd7A5K	R2	R4	R3	R1
Maize	Zm00001eb029300	JrjFpUyncJFgzmIGEGLrcJQ5AwYDktSH	R2	R3	R4	R1
Maize	Zm00001eb029300	bm3CNsSAmWKhfKJLBP6cQpzlppXqbDPz	R1	R4	R3	R2
Maize	Zm00001eb038710	V6KzqPvGTIYewC2PhsffzwCEWkrd7A5K	R3	R4	R2	R1
Maize	Zm00001eb038710	cdhIMoMb52YeiRW5A97L2jCEVUNmnSGv	R3	R4	R2	R1
Maize	Zm00001eb038710	0oeh4rCIfZ7eoJ0gpzuhXRJmum8ahZmT	R3	R1	R2	R4
Maize	Zm00001eb048020	2v0YCJaa1VIPGC1JJ6lGJ0OkYl7YFPCB	R3	R1	R4	R2
Maize	Zm00001eb048020	JrjFpUyncJFgzmIGEGLrcJQ5AwYDktSH	R2	R4	R3	R1
Maize	Zm00001eb048020	rXeYYxAuCI7bsIS6LiysZjRALirdyBvG	R3	R4	R1	R2
Maize	Zm00001eb057490	0R4b0aixbqmPoQqcFBQEtOs6p3q5kOFr	R2	R4	R3	R1
Maize	Zm00001eb057490	UU0Ch0CSTFQmneEELjwYqTHghwcU3Pv7	R4	R3	R2	R1
Maize	Zm00001eb057490	NPJ5F29SEAAwXE7AqmfO4v2KM8lyZDBQ	R4	R2	R1	R3
Maize	Zm00001eb050790	cdhIMoMb52YeiRW5A97L2jCEVUNmnSGv	R2	R4	R3	R1
Maize	Zm00001eb050790	cSmWxkGDHaTLh9BRIrUvtULrn8RpxxpQ	R2	R4	R3	R1
Maize	Zm00001eb050790	anU57HspMxv0DTlSAlq0JkEZneMoOxul	R3	R4	R1	R2
Maize	Zm00001eb117870	0R4b0aixbqmPoQqcFBQEtOs6p3q5kOFr	R3	R4	R2	R1
Maize	Zm00001eb117870	NPJ5F29SEAAwXE7AqmfO4v2KM8lyZDBQ	R4	R2	R1	R3
Maize	Zm00001eb117870	cSmWxkGDHaTLh9BRIrUvtULrn8RpxxpQ	R2	R3	R4	R1
Maize	Zm00001eb316260	X1MBalKmeYYj8x0nbzkskto6V3RLxc1f	R3	R4	R2	R1
Maize	Zm00001eb316260	0oeh4rCIfZ7eoJ0gpzuhXRJmum8ahZmT	R2	R4	R1	R3
Maize	Zm00001eb316260	npFGzukNswDwdJ2JS31sbu3FRU7d8PgB	R2	R4	R3	R1
Maize	Zm00001eb233320	cdhIMoMb52YeiRW5A97L2jCEVUNmnSGv	R2	R4	R3	R1
Maize	Zm00001eb233320	cOvsoiyEYfWKAGqxIPqh5zlvPNuj8ZCj	R2	R3	R4	R1
Maize	Zm00001eb233320	7c4UoEBDob910nifHzfzMbjA83HpKqVU	R2	R4	R3	R1
Maize	Zm00001eb145600	2q0NdW1fctnGZv11tHh9NbZ5JQe70Cp3	R2	R4	R3	R1
Maize	Zm00001eb145600	2v0YCJaa1VIPGC1JJ6lGJ0OkYl7YFPCB	R2	R4	R1	R3
Maize	Zm00001eb145600	0oeh4rCIfZ7eoJ0gpzuhXRJmum8ahZmT	R1	R2	R4	R3
Maize	Zm00001eb123040	UU0Ch0CSTFQmneEELjwYqTHghwcU3Pv7	R3	R4	R1	R2
Maize	Zm00001eb123040	uhnf9ewJVXmbTRPh3nrrSxeLHOog6Uyn	R2	R4	R3	R1
Maize	Zm00001eb123040	eGzplyrN0pDREKBZ1NrOceNJ6k9VymuO	R3	R2	R1	R4
Maize	Zm00001eb122500	X1MBalKmeYYj8x0nbzkskto6V3RLxc1f	R3	R4	R1	R2
Maize	Zm00001eb122500	V6KzqPvGTIYewC2PhsffzwCEWkrd7A5K	R1	R4	R3	R2
Maize	Zm00001eb122500	aNwMrZHHnKTemLnuPPi66LC26XpFNKww	R2	R3	R1	R4
Maize	Zm00001eb298190	V6KzqPvGTIYewC2PhsffzwCEWkrd7A5K	R1	R4	R3	R2
Maize	Zm00001eb298190	cOvsoiyEYfWKAGqxIPqh5zlvPNuj8ZCj	R3	R4	R2	R1
Maize	Zm00001eb298190	rXeYYxAuCI7bsIS6LiysZjRALirdyBvG	R3	R4	R2	R1
Maize	Zm00001eb336530	cdhIMoMb52YeiRW5A97L2jCEVUNmnSGv	R2	R4	R3	R1
Maize	Zm00001eb336530	npFGzukNswDwdJ2JS31sbu3FRU7d8PgB	R2	R4	R3	R1
