Species	Gene	Expert	Gemini	Grok	OpenAI	Phytomni
Wheat	TraesCS1A02G083000	dXqtQwwyDMTcGvSWNpErufIsARy17qGC	R4	R1	R2	R3
Wheat	TraesCS1A02G083000	j70VyO9EhEzZM07EZNTRSYsjYxt35cLG	R3	R4	R2	R1
Wheat	TraesCS1A02G083000	79Z89kcb4MSxZ8qHHIgwd6cJIKEfRPG3	R4	R3	R1	R2
Wheat	TraesCS1A02G223800	FrKbjAuI6ch43rMF23dK7L5vVvCW1bEz	R2	R4	R3	R1
Wheat	TraesCS1A02G223800	8aW3xQqeUjJxlLFyVsDrHjO8b9w6lp2K	R1	R4	R2	R3
Wheat	TraesCS1A02G223800	TaLE9GwThyLfGQI2HvyyjgXuVZGx4yJj	R1	R4	R2	R3
Wheat	TraesCS1A02G278900	57q9O79EpD1McueYRnu0r9O0XFGPuqsn	R1	R4	R3	R2
Wheat	TraesCS1A02G278900	1BOMjdSGoh8NPgxWTwCbrsxeHWsNgPs9	R3	R4	R1	R2
Wheat	TraesCS1A02G278900	j70VyO9EhEzZM07EZNTRSYsjYxt35cLG	R1	R4	R3	R2
Wheat	TraesCS1A02G233800	LnoR1Sf9Jb6NnRKQSBLjLPScCEMJOARC	R2	R4	R3	R1
Wheat	TraesCS1A02G233800	7cO4f4JYugcVKuSnFpLMgVpKiKI8qIY0	R2	R4	R1	R3
Wheat	TraesCS1A02G233800	8aW3xQqeUjJxlLFyVsDrHjO8b9w6lp2K	R1	R2	R3	R4
Wheat	TraesCS2A02G013500	xLDk0wzPgHwru17RdA6ZGgUcMsS8b1sT	R3	R2	R4	R1
Wheat	TraesCS2A02G013500	321kCZL8PFfVhO9clrd5RFDAujBOQ8CI	R3	R4	R1	R2
Wheat	TraesCS2A02G013500	TaLE9GwThyLfGQI2HvyyjgXuVZGx4yJj	R1	R4	R2	R3
Wheat	TraesCS2A02G013200	dXqtQwwyDMTcGvSWNpErufIsARy17qGC	R3	R1	R2	R4
Wheat	TraesCS2A02G013200	1BOMjdSGoh8NPgxWTwCbrsxeHWsNgPs9	R3	R4	R1	R2
Wheat	TraesCS2A02G013200	9kHTf7pBqDzBjsFzsZ7AXunSNdL76JSK	R3	R1	R2	R4
Wheat	TraesCS1D02G381700	Q06bycI8Hw6W8H8jMDTtvos4Kgg6W9sE	R2	R4	R3	R1
Wheat	TraesCS1D02G381700	FGxTUoy7z5qJZTKcX2wA1BLoBodBbm7M	R2	R4	R3	R1
Wheat	TraesCS1D02G381700	wnoH1sywS97TKcIWYiXdArrsK5A1Q6k3	R2	R3	R4	R1
Wheat	TraesCS1D02G150300	57q9O79EpD1McueYRnu0r9O0XFGPuqsn	R1	R4	R3	R2
Wheat	TraesCS1D02G150300	LnoR1Sf9Jb6NnRKQSBLjLPScCEMJOARC	R2	R4	R3	R1
Wheat	TraesCS1D02G150300	FrKbjAuI6ch43rMF23dK7L5vVvCW1bEz	R1	R4	R3	R2
Wheat	TraesCS2A02G425400	321kCZL8PFfVhO9clrd5RFDAujBOQ8CI	R2	R4	R3	R1
Wheat	TraesCS2A02G425400	8aW3xQqeUjJxlLFyVsDrHjO8b9w6lp2K	R1	R2	R3	R4
Wheat	TraesCS2A02G425400	TaLE9GwThyLfGQI2HvyyjgXuVZGx4yJj	R1	R3	R4	R2
Wheat	TraesCS6A02G263000	57q9O79EpD1McueYRnu0r9O0XFGPuqsn	R2	R4	R3	R1
Wheat	TraesCS6A02G263000	fvHZkgN2HOdn35VTdjVZI6tl23KFQdGT	R2	R4	R3	R1
Wheat	TraesCS6A02G263000	FGxTUoy7z5qJZTKcX2wA1BLoBodBbm7M	R2	R4	R3	R1
Wheat	TraesCS6B02G290000	dXqtQwwyDMTcGvSWNpErufIsARy17qGC	R3	R4	R1	R2
Wheat	TraesCS6B02G290000	7cO4f4JYugcVKuSnFpLMgVpKiKI8qIY0	R2	R1	R3	R4
Wheat	TraesCS6B02G290000	Q06bycI8Hw6W8H8jMDTtvos4Kgg6W9sE	R2	R4	R3	R1
Wheat	TraesCS6D02G243500	LnoR1Sf9Jb6NnRKQSBLjLPScCEMJOARC	R2	R4	R3	R1
Wheat	TraesCS6D02G243500	c2ozi7Iv8W1fs5lmySuF7Yk6wiPrrrEe	R1	R4	R3	R2
Wheat	TraesCS6D02G243500	FGxTUoy7z5qJZTKcX2wA1BLoBodBbm7M	R4	R2	R1	R3
Wheat	TraesCS5B02G357400	8W90jJMJjAAgsQPvYDKV5JqtbwolQEpH	R4	R1	R2	R3
Wheat	TraesCS5B02G357400	79Z89kcb4MSxZ8qHHIgwd6cJIKEfRPG3	R1	R4	R3	R2
Wheat	TraesCS5B02G357400	f05T1RxysWTCnMykbaQQBqZDeUPdzIdk	R1	R4	R3	R2
Wheat	TraesCS5A02G355200	7cO4f4JYugcVKuSnFpLMgVpKiKI8qIY0	R2	R4	R1	R3
Wheat	TraesCS5A02G355200	FGxTUoy7z5qJZTKcX2wA1BLoBodBbm7M	R2	R4	R3	R1
Wheat	TraesCS5A02G355200	sWrdC0OoH0Ey8xgNSKo1gIF0GROlNeMT	R3	R2	R1	R4
Wheat	TraesCS2B02G004500	8W90jJMJjAAgsQPvYDKV5JqtbwolQEpH	R3	R1	R2	R4
Wheat	TraesCS2B02G004500	1BOMjdSGoh8NPgxWTwCbrsxeHWsNgPs9	R1	R4	R2	R3
Wheat	TraesCS2B02G004500	BAFS4XfiSyQR1GKtcTBAM0YJLfxg3S15	R1	R3	R4	R2
Wheat	TraesCS2A02G425500	9kHTf7pBqDzBjsFzsZ7AXunSNdL76JSK	R3	R1	R2	R4
Wheat	TraesCS2A02G425500	Q06bycI8Hw6W8H8jMDTtvos4Kgg6W9sE	R3	R4	R2	R1
Wheat	TraesCS2A02G425500	BAFS4XfiSyQR1GKtcTBAM0YJLfxg3S15	R3	R2	R4	R1
Wheat	TraesCS7B02G258700	FrKbjAuI6ch43rMF23dK7L5vVvCW1bEz	R1	R4	R3	R2
Wheat	TraesCS7B02G258700	9kHTf7pBqDzBjsFzsZ7AXunSNdL76JSK	R4	R1	R2	R3
Wheat	TraesCS7B02G258700	u8e2ngNR9fFI42d6uX7lIl4vFZQuPl9f	R1	R4	R3	R2
Wheat	TraesCS7A02G369800	FGxTUoy7z5qJZTKcX2wA1BLoBodBbm7M	R2	R4	R3	R1
Wheat	TraesCS7A02G369800	u8e2ngNR9fFI42d6uX7lIl4vFZQuPl9f	R2	R4	R3	R1
Wheat	TraesCS7A02G369800	wnoH1sywS97TKcIWYiXdArrsK5A1Q6k3	R2	R4	R3	R1
Wheat	TraesCS7D02G353500	7cO4f4JYugcVKuSnFpLMgVpKiKI8qIY0	R3	R4	R1	R2
Wheat	TraesCS7D02G353500	BAFS4XfiSyQR1GKtcTBAM0YJLfxg3S15	R3	R4	R2	R1
Wheat	TraesCS7D02G353500	u8e2ngNR9fFI42d6uX7lIl4vFZQuPl9f	R1	R4	R3	R2
