Species	Gene	Expert	Gemini	Grok	OpenAI	Phytomni
Rice	Os01g0107900	MKEE4MrTiNXe19vQameQ6mFKMp95bj8Y	R3	R4	R2	R1
Rice	Os01g0107900	fLzsihd0OonagKOPuvzw7coN34NZhGsQ	R1	R4	R2	R3
Rice	Os01g0107900	LOayh0PEmiXPuOm8g3Oi1BvNOhCiX69k	R2	R3	R4	R1
Rice	Os01g0134700	KxnS3LQ5VPpAQb1HQWw07MTlU8IIb1gI	R4	R3	R2	R1
Rice	Os01g0134700	n3MMTf2yC8KzyyCOmWJ3AvvcZVvj7uoQ	R2	R4	R3	R1
Rice	Os01g0134700	oLDb1tDh5drlAh2ObCxOwgfieY5srznX	R1	R3	R4	R2
Rice	Os02g0580500	r05PTCOxiBggmz4QAmDUFVe8o4bDL5zd	R3	R2	R1	R4
Rice	Os02g0580500	jaiMg8y5fAP9vbgBRXtMvHedBbReA9x1	R3	R4	R1	R2
Rice	Os02g0580500	Ex9jzuymFQA3qOQH0jgjT7QFLohe08l3	R1	R4	R3	R2
Rice	Os02g0821600	32VNA9hrEKsqE3cyQ7YMCqYKlfxc03Hk	R2	R4	R3	R1
Rice	Os02g0821600	iLEvI4wLxhOaSrfxTh6KIFJfZN7pwt2K	R2	R4	R3	R1
Rice	Os02g0821600	itGDaWd3SA7un7zfUMyjiK2imQpQm7I7	R2	R4	R3	R1
Rice	Os03g0160600	riP87EITsEAkBcIlP7XgsmL6ailXibB6	R2	R4	R3	R1
Rice	Os03g0160600	IbMZ0GuB6ZSWH9mnCgYnq6TgNs24uNpl	R1	R4	R3	R2
Rice	Os03g0160600	LOayh0PEmiXPuOm8g3Oi1BvNOhCiX69k	R2	R3	R4	R1
Rice	Os03g0221500	riP87EITsEAkBcIlP7XgsmL6ailXibB6	R3	R4	R2	R1
Rice	Os03g0221500	oLDb1tDh5drlAh2ObCxOwgfieY5srznX	R2	R3	R4	R1
Rice	Os03g0221500	G99f9r3pJsecytMl1Ld9iCDajtwVJU1Z	R1	R3	R2	R4
Rice	Os03g0436300	KxnS3LQ5VPpAQb1HQWw07MTlU8IIb1gI	R2	R3	R4	R1
Rice	Os03g0436300	jaiMg8y5fAP9vbgBRXtMvHedBbReA9x1	R4	R1	R3	R2
Rice	Os03g0436300	n3MMTf2yC8KzyyCOmWJ3AvvcZVvj7uoQ	R2	R4	R3	R1
Rice	Os03g0587100	jaiMg8y5fAP9vbgBRXtMvHedBbReA9x1	R1	R2	R4	R3
Rice	Os03g0587100	6UOewKhiyTwsOSCazFK8jMd6C8ExyJGM	R4	R2	R1	R3
Rice	Os03g0587100	Ex9jzuymFQA3qOQH0jgjT7QFLohe08l3	R2	R4	R3	R1
Rice	Os03g0783000	530t0xSNeWYZTyyhJNJAMPGSyEbuKf1L	R2	R3	R1	R4
Rice	Os03g0783000	r05PTCOxiBggmz4QAmDUFVe8o4bDL5zd	R3	R1	R4	R2
Rice	Os03g0783000	fLzsihd0OonagKOPuvzw7coN34NZhGsQ	R3	R4	R2	R1
Rice	Os03g0811700	m8f0vNobsJjeG82CjcjirCznul01sBuk	R2	R3	R4	R1
Rice	Os03g0811700	jwRdF790bUDhpVAFqIIFAdKcVTa5Oroq	R3	R2	R1	R4
Rice	Os03g0811700	G99f9r3pJsecytMl1Ld9iCDajtwVJU1Z	R1	R4	R3	R2
Rice	Os03g0833100	3IjRvYMTakfiHFRKDt8kxtfGPYY8yN3l	R2	R4	R3	R1
Rice	Os03g0833100	r05PTCOxiBggmz4QAmDUFVe8o4bDL5zd	R3	R2	R4	R1
Rice	Os03g0833100	oLDb1tDh5drlAh2ObCxOwgfieY5srznX	R2	R4	R3	R1
Rice	Os03g0850100	3IjRvYMTakfiHFRKDt8kxtfGPYY8yN3l	R2	R4	R3	R1
Rice	Os03g0850100	MKEE4MrTiNXe19vQameQ6mFKMp95bj8Y	R2	R4	R3	R1
Rice	Os03g0850100	IbMZ0GuB6ZSWH9mnCgYnq6TgNs24uNpl	R2	R4	R3	R1
Rice	Os04g0462900	IbMZ0GuB6ZSWH9mnCgYnq6TgNs24uNpl	R1	R3	R4	R2
Rice	Os04g0462900	r3Gi5fiijC7oj846JOtRHMAFQh690qba	R3	R4	R2	R1
Rice	Os04g0462900	n3MMTf2yC8KzyyCOmWJ3AvvcZVvj7uoQ	R2	R4	R3	R1
Rice	Os04g0653300	IbMZ0GuB6ZSWH9mnCgYnq6TgNs24uNpl	R1	R4	R3	R2
Rice	Os04g0653300	jaiMg8y5fAP9vbgBRXtMvHedBbReA9x1	R4	R1	R2	R3
